Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,bellabest,20,4.85,30.5,99.25,10🌟
2,Nablis_21,20,4.15,43.7,95.75,10🌟
3,gta_tame,20,4.35,52.4,95.59,10🌟
4,Mis_iraq,20,3.85,43.9,94.25,10🌟
5,Psa_lm19,20,3.6,55.9,90.38,10🌟
6,Secretmis,17,4.53,32.7,90.15,10🌟
7,Gebre_selasie,19,3.37,50.5,89.11,9🌟
8,infinity21B,20,3.65,68.8,86.42,9🌟
9,TSHMESK,16,4.25,40.9,86.25,9🌟
10,fre99,15,4.27,33.4,83.83,9🌟
11,herrybm97,15,4.27,40.3,83.83,9🌟
12,dagiheb,14,4.57,32.5,82.86,9🌟
13,Tihtina20,12,4.58,28.3,77.92,8🌟
14,Sos50lp,12,4.25,36.2,76.25,8🌟
15,nathy2127,10,4.4,51.2,71.39,8🌟
16,Aklilu000,10,4.2,36.9,71.0,8🌟
17,jordaw,7,4.86,34.7,66.79,7🌟
18,BEING_MIAPHYSITE,9,3.67,32.0,65.83,7🌟
19,Ephrame12,7,4.57,46.6,65.36,7🌟
20,Madonna,6,4.83,42.8,64.17,7🌟
21,thanna_347,5,5.0,38.5,62.5,7🌟
22,tsedal_12,6,4.33,48.9,61.67,7🌟
23,Tewobsta21,5,4.8,35.3,61.5,7🌟
24,knowwtuhave,7,3.71,36.1,61.07,7🌟
25,servant_of_the_saviour,6,4.17,39.8,60.83,7🌟
26,ka13ab,4,4.75,49.0,58.75,6🌟
27,Saintignatiuss,4,4.5,23.4,57.5,6🌟
28,LEOMESSITHEGOAT2025,6,3.5,49.5,57.5,6🌟
29,Casperanceph,2,5.0,31.8,55.0,6🌟
30,mfnbruk,5,3.4,42.3,54.5,6🌟
31,aklu_14,1,5.0,26.2,52.5,6🌟
32,yodi2014,1,5.0,30.8,52.5,6🌟
33,aprilyab,4,3.5,44.8,52.5,6🌟
34,Marvellarita,3,4.33,57.2,51.01,6🌟
35,gech6225,2,4.0,35.4,50.0,6🌟
36,Hannibal,6,2.0,32.9,50.0,6🌟
37,fevwende,4,3.75,62.6,48.71,5🌟
38,YO_EN19,3,3.33,51.1,48.63,5🌟
39,amsinam,1,4.0,44.0,47.5,5🌟
40,Bersi3_19,1,4.0,47.7,47.5,5🌟
41,Mshabka,3,3.33,58.7,45.45,5🌟
42,Mekuelk,2,3.0,49.6,45.0,5🌟
43,bruktawit16,1,4.0,58.4,43.9,5🌟
44,Enuui,2,4.0,66.8,43.71,5🌟
45,naynan5,1,4.0,59.5,43.51,5🌟
46,Hana Girma,3,4.0,78.3,43.46,5🌟
47,Eunelsa,3,3.0,61.3,42.89,5🌟
48,Sosna811e,1,3.0,31.9,42.5,5🌟
49,GrooveStreetCJ,1,4.0,63.0,42.34,5🌟
50,bbnot3b,1,4.0,64.0,42.03,5🌟
51,Souljom,2,2.0,39.2,40.0,5🌟
52,shizuku_17,2,3.5,71.5,39.98,4🌟
53,Panther_a,1,4.0,83.0,37.56,4🌟
54,Tsitta1999,1,2.0,40.1,37.5,4🌟
55,DeveE156,1,2.0,53.5,35.86,4🌟
56,sergut19,1,2.0,54.4,35.48,4🌟
57,Kai_8zen,1,2.0,54.9,35.27,4🌟
58,Fwme21,3,2.0,71.3,35.02,4🌟
59,Beakal Eliyas,3,1.33,61.3,34.57,4🌟
60,HenockEnoch,1,2.0,58.1,34.01,4🌟
61,Lo𝕣i,1,2.0,59.6,33.47,4🌟
62,ThJdog,1,2.0,60.0,33.33,4🌟
63,THEN0AH,1,1.0,19.1,32.5,4🌟
64,Nola_y,1,1.0,39.5,32.5,4🌟
65,Nrykm,1,1.0,49.9,32.5,4🌟
66,Abiy_7,1,3.0,87.0,31.87,4🌟
67,muluken_24,1,3.0,95.0,30.66,4🌟
68,Liyu272112,2,2.0,82.0,30.24,4🌟
69,Naola1994,2,0.0,52.8,28.67,3🌟
70,K_D271,3,1.33,89.7,28.11,3🌟
71,Makite,1,0.0,43.2,27.5,3🌟
72,Kiaki27,1,0.0,69.0,20.62,3🌟
73,nadael12,2,1.0,143.5,18.71,2🌟
74,Jesus is Lord Wq,1,0.0,118.0,13.09,2🌟
