Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,BEING_MIAPHYSITE,52,4.615384615384615,40.888461538461534,93.28737300435414,10🌟
2,Gebre_selasie,53,3.811320754716981,56.41320754716981,88.03843484805554,9🌟
3,Psa_lm19,53,4.188679245283019,66.99245283018868,86.11164841658439,9🌟
4,Nablis_21,45,4.088888888888889,50.50888888888889,84.23798636866141,9🌟
5,bellabest,39,4.794871794871795,43.8948717948718,81.77108530882116,9🌟
6,Souljom,44,3.7045454545454546,52.66363636363636,80.68058291946956,9🌟
7,infinity21B,45,4.222222222222222,74.02888888888889,76.93072281429198,8🌟
8,bruktawit16,42,4.023809523809524,63.345238095238095,76.1216473950683,8🌟
9,Sos50lp,35,4.3428571428571425,40.142857142857146,76.1141060197664,8🌟
10,nati_i1,35,4.285714285714286,47.39714285714286,75.87601078167116,8🌟
11,Aklilu000,40,3.6,56.0225,75.04831279885019,8🌟
12,semwwn,45,4.177777777777778,89.82666666666667,73.77592707211456,8🌟
13,Tewobsta21,32,4.25,46.0375,72.89701257861635,8🌟
14,fre99,27,4.444444444444445,45.97777777777778,68.99021663172607,7🌟
15,jordaw,30,4.1,59.13,66.52508144829588,7🌟
16,Hc2812,30,4.3,62.69666666666667,66.15581753482793,7🌟
17,tsedal_12,28,4.392857142857143,59.00714285714286,65.90254181225653,7🌟
18,W2BKA2,33,4.181818181818182,72.55151515151515,65.7854549772203,7🌟
19,Hannibal,28,3.357142857142857,40.146428571428565,65.40318957771788,7🌟
20,sergut19,36,3.7222222222222223,78.80555555555556,65.33334928260308,7🌟
21,K_D271,31,4.064516129032258,65.79354838709678,65.17959018852169,7🌟
22,nathy2127,35,3.9714285714285715,82.03428571428572,64.80401831792611,7🌟
23,Secretmis,25,4.0,51.176,64.67708428577467,7🌟
24,Abutio,24,4.041666666666667,45.6,64.48178721174004,7🌟
25,thanna_347,22,4.363636363636363,43.97272727272727,63.93653516295026,7🌟
26,Beta_1223,23,4.130434782608695,43.47826086956522,63.9082581350834,7🌟
27,dagiheb,20,4.8,51.335,63.21778329912101,7🌟
28,ZeTaologos4,22,3.9545454545454546,35.99545454545454,62.231989708404804,7🌟
29,fevwende,20,4.8,55.160000000000004,61.52927333178266,7🌟
30,MAFIt3,18,4.611111111111111,34.294444444444444,61.19409503843466,7🌟
31,Geniyemekdes,18,4.611111111111111,46.06666666666667,61.19409503843466,7🌟
32,Emuuuu_21,22,4.2272727272727275,55.17727272727273,61.02260822573062,7🌟
33,Tihtina20,22,3.6818181818181817,50.45454545454545,60.87040084681594,7🌟
34,gech6225,23,4.217391304347826,57.95217391304348,60.840087066442614,7🌟
35,herrybm97,26,3.923076923076923,63.08461538461539,60.689112482123235,7🌟
36,David_499,28,3.7142857142857144,67.39285714285714,60.43924454024343,7🌟
37,Mafit33,18,4.388888888888889,37.59444444444445,60.26816911250874,7🌟
38,Jude2124,28,3.1785714285714284,61.44642857142857,60.00206552740028,7🌟
39,servant_of_the_saviour,16,4.6875,44.94375,59.62558962264151,6🌟
40,light_1819,24,3.75,59.70416666666667,59.20307165044632,6🌟
41,Mahi4652,25,4.12,71.748,58.17366074762718,6🌟
42,Radioactive217,16,4.3125,40.94375,58.06308962264151,6🌟
43,Get_Abell,17,4.0,46.794117647058826,57.70440251572327,6🌟
44,tiyobi2129,21,4.095238095238095,60.280952380952385,57.61104790786857,6🌟
45,Novelake,24,3.6666666666666665,64.48333333333333,57.304141179173484,6🌟
46,Goahdsol16,13,4.615384615384615,40.43846153846154,56.49492017416546,6🌟
47,habtetsega,14,4.428571428571429,52.30714285714286,55.55723796788393,6🌟
48,Auto_phileeee,15,3.933333333333333,32.193333333333335,55.5398322851153,6🌟
49,Mekuelk,15,3.933333333333333,44.84666666666667,55.5398322851153,6🌟
50,Rvrmm,20,4.0,62.645,55.48829859380326,6🌟
51,Enku_ab,11,4.818181818181818,14.936363636363637,55.45311606632362,6🌟
52,Sosi12s,12,4.5,42.45,55.070754716981135,6🌟
