Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,bellabest,11,4.82,27.8,95.08,10🌟
2,gta_tame,11,4.55,44.4,93.94,10🌟
3,Psa_lm19,11,4.27,39.9,92.8,10🌟
4,Kanu_DB,11,4.09,38.4,92.05,10🌟
5,a081216,11,3.91,39.8,91.29,10🌟
6,herrybm97,10,4.9,25.5,90.87,10🌟
7,Ephrame12,10,4.6,36.3,89.62,9🌟
8,S_a_f_f_r_o_n_n,10,4.3,26.2,88.37,9🌟
9,dbtdrys,10,4.3,28.7,88.37,9🌟
10,TSHMESK,9,4.89,26.7,86.28,9🌟
11,Nablis_21,9,4.56,37.6,84.89,9🌟
12,Nola_y,10,3.5,51.3,84.39,9🌟
13,infinity21B,11,3.45,63.1,84.2,9🌟
14,TMGBFE,9,4.22,38.9,83.5,9🌟
15,Aklilu000,9,4.11,33.5,83.04,9🌟
16,lij_natt,9,3.89,50.6,81.84,9🌟
17,Auto_phileeee,9,3.44,37.9,80.26,9🌟
18,Khaldrogo1st,9,3.44,47.9,80.26,9🌟
19,that_red1,9,3.33,42.4,79.8,8🌟
20,Mis_iraq,8,4.12,43.1,78.55,8🌟
21,Gelagelu,7,4.14,32.7,74.08,8🌟
22,Gebre_selasie,7,3.86,38.8,72.89,8🌟
23,tsenat11,7,3.71,50.6,72.02,8🌟
24,dagiheb,6,4.67,32.8,71.72,8🌟
25,Sos50lp,5,5.4,25.8,70.23,8🌟
26,LEOMESSITHEGOAT2025,6,4.17,44.2,69.63,7🌟
27,fevwende,5,4.4,40.6,66.06,7🌟
28,KT431,6,3.17,43.8,65.47,7🌟
29,BEING_MIAPHYSITE,5,4.2,26.5,65.23,7🌟
30,Ha,5,4.2,47.2,65.23,7🌟
31,MGAGEG,5,3.6,43.7,62.73,7🌟
32,Fwme21,6,3.5,61.6,62.14,7🌟
33,knowwtuhave,5,3.0,32.1,60.23,7🌟
34,Casperanceph,5,2.4,36.8,57.73,6🌟
35,Davidson1928,3,4.33,22.6,56.69,6🌟
36,MAFIt3,3,4.33,42.9,56.69,6🌟
37,aaamy2825,3,4.33,47.2,56.69,6🌟
38,Tihtina20,4,3.25,53.5,55.1,6🌟
39,Liyu272112,2,5.0,40.8,54.92,6🌟
40,shizuku_17,1,6.0,53.3,53.0,6🌟
41,W2BKA2,2,5.0,57.7,51.59,6🌟
42,XYZ,2,4.0,30.2,50.76,6🌟
43,heluthun,2,4.0,44.1,50.76,6🌟
44,Bersi3_19,1,5.0,16.7,50.38,6🌟
45,amsinam,1,5.0,33.2,50.38,6🌟
46,JYAT6200,1,5.0,43.5,50.38,6🌟
47,servant_of_the_saviour,2,3.5,28.0,48.67,5🌟
48,Yoni0129,2,3.5,48.0,48.67,5🌟
49,Simretss,2,3.5,48.8,48.67,5🌟
50,David_499,2,3.5,50.2,48.57,5🌟
51,elysian_soul,2,4.0,56.5,47.88,5🌟
52,anna_16_21_19,1,5.0,56.3,47.58,5🌟
53,Mkdtb,1,5.0,58.7,46.67,5🌟
54,bilu20061,5,1.8,77.8,46.29,5🌟
55,DeveE156,1,5.0,59.8,46.28,5🌟
56,Hc2812,1,4.0,40.0,46.21,5🌟
57,THEN0AH,1,4.0,42.1,46.21,5🌟
58,Hannibal,1,4.0,43.8,46.21,5🌟
59,Piyapiyee,2,3.5,55.8,46.06,5🌟
60,Reb1256,3,1.67,49.4,45.58,5🌟
61,Revelation83,1,4.0,54.6,44.11,5🌟
62,obdk123,1,5.0,68.0,43.76,5🌟
63,YO_EN19,2,2.0,46.9,42.42,5🌟
64,henokastr,1,3.0,34.4,42.05,5🌟
65,Mulugetas_daughter,1,3.0,42.4,42.05,5🌟
66,dayeya16,1,3.0,47.2,42.05,5🌟
67,davellllen,1,3.0,52.2,40.99,5🌟
68,Debes,2,3.0,72.6,38.81,4🌟
69,DNHaftom21,2,2.5,67.8,37.93,4🌟
70,Tewobsta21,1,3.0,61.0,37.54,4🌟
71,Mar1amaw1t,1,3.0,65.0,36.28,4🌟
72,Oshi1718,1,3.0,65.0,36.28,4🌟
73,kal_ay,1,2.0,54.0,36.03,4🌟
74,kale_yod19,1,3.0,69.0,35.16,4🌟
75,Habtemary21,1,3.0,70.0,34.9,4🌟
76,Semi2424,1,2.0,58.7,34.17,4🌟
77,sapph3,1,1.0,42.4,33.71,4🌟
78,Lema_T,1,2.0,63.0,32.72,4🌟
79,Yeabsirai,1,1.0,52.1,32.7,4🌟
80,Meta_noia30,1,1.0,52.2,32.66,4🌟
81,AHCB_16,1,2.0,64.0,32.41,4🌟
82,M,1,1.0,60.0,29.55,3🌟
83,Mnase1224,1,0.0,46.1,29.55,3🌟
