Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,Psa_lm19,21,3.57,43.2,92.86,10🌟
2,bellabest,19,4.42,31.8,92.34,10🌟
3,Mis_iraq,18,3.72,40.4,86.47,9🌟
4,Nablis_21,17,3.41,38.0,82.54,9🌟
5,Gebre_selasie,16,3.5,46.8,80.6,9🌟
6,tsenat11,16,3.12,49.5,78.72,8🌟
7,helen Worku,15,3.6,61.6,74.02,8🌟
8,nahom_97_smc,12,3.58,40.8,71.49,8🌟
9,Madonna,11,4.0,45.4,71.19,8🌟
10,Eunelsa,13,3.69,57.8,71.03,8🌟
11,KT431,11,3.91,49.3,70.74,8🌟
12,Tihtina20,9,4.33,34.6,68.1,7🌟
13,Reb1256,13,2.31,47.3,67.49,7🌟
14,Manuhe21,11,3.18,42.7,67.1,7🌟
15,Ab_xo24,12,2.92,53.8,66.37,7🌟
16,nuye_ab,7,3.86,51.4,60.26,7🌟
17,shambelmebratu,5,4.4,41.9,58.9,6🌟
18,dagiheb,6,3.83,27.5,58.45,6🌟
19,SosIp0,5,4.2,34.9,57.9,6🌟
20,Hena_at,3,5.0,41.5,57.14,6🌟
21,dina_sol77,4,4.5,29.8,57.02,6🌟
22,aaamy2825,4,4.5,32.7,57.02,6🌟
23,servant_of_the_saviour,5,4.0,25.7,56.9,6🌟
24,Hareg135,9,2.0,49.8,56.43,6🌟
25,dbtdrys,2,5.0,27.8,54.76,6🌟
26,CipherLens,6,3.17,52.1,54.11,6🌟
27,infinity21B,5,3.8,55.2,53.54,6🌟
28,Natanmesfin,4,3.75,42.2,53.27,6🌟
29,gta_tame,5,3.2,44.3,52.9,6🌟
30,alezwel,6,3.33,58.2,52.45,6🌟
31,henokastro,1,5.0,30.8,52.38,6🌟
32,Ruhaaa21,1,5.0,35.3,52.38,6🌟
33,ka13ab,1,5.0,43.0,52.38,6🌟
34,fre99,1,5.0,44.3,52.38,6🌟
35,BEING_MIAPHYSITE,5,3.0,35.2,51.9,6🌟
36,amsinam,4,3.25,18.8,50.77,6🌟
37,Ha,4,3.75,56.6,50.34,6🌟
38,Liyu272112,5,2.6,38.2,49.9,5🌟
39,TMGBFE,2,4.0,24.0,49.76,5🌟
40,abcd01100,1,4.0,39.8,47.38,5🌟
41,Mshabka,1,4.0,49.4,47.38,5🌟
42,that_red1,2,3.5,46.3,47.26,5🌟
43,tiyobi2129,1,5.0,63.0,47.22,5🌟
44,CHUBAW_72,4,2.5,37.7,47.02,5🌟
45,Davidson1928,4,2.5,41.1,47.02,5🌟
46,Oiikaa112,2,4.0,56.8,46.79,5🌟
47,everything5699,3,3.0,50.9,46.68,5🌟
48,Sosna811e,3,3.33,55.0,46.55,5🌟
49,Aklilu000,1,4.0,53.2,45.88,5🌟
50,haileyesus012,1,4.0,54.3,45.4,5🌟
51,Khaldrogo1st,2,3.0,40.5,44.76,5🌟
52,Nola_y,2,3.0,47.6,44.76,5🌟
53,Bamideyas,5,3.2,74.4,44.71,5🌟
54,herrybm97,3,2.67,52.3,44.36,5🌟
55,W2BKA2,5,2.8,68.5,44.15,5🌟
56,semwwn,1,5.0,76.0,43.83,5🌟
57,surrenderofleomessi,3,2.33,33.9,43.81,5🌟
58,henokastr,4,1.75,37.1,43.27,5🌟
59,Abiy2112,4,3.5,80.8,42.5,5🌟
60,Hannibal,1,3.0,39.7,42.38,5🌟
61,kovbe83,1,3.0,44.0,42.38,5🌟
62,Eliora21,2,2.5,32.4,42.26,5🌟
63,na10g,2,2.5,47.0,42.26,5🌟
64,David_499,2,2.5,48.6,42.26,5🌟
65,beziiih1,3,2.0,25.5,42.14,5🌟
66,Mulish69,1,3.0,51.0,41.89,5🌟
67,Novelake,1,3.0,51.2,41.8,5🌟
68,Birsel719,1,4.0,66.0,41.32,5🌟
69,kale_yod19,4,2.0,58.2,41.0,5🌟
70,sergut19,3,2.67,61.3,40.88,5🌟
71,Tsitta1999,3,1.67,45.9,40.48,5🌟
72,YO_EN19,2,2.0,50.4,39.54,4🌟
73,Fwme21,2,2.0,51.9,38.85,4🌟
74,thanna_347,2,2.5,62.0,37.41,4🌟
75,Bersi3_19,1,2.0,14.4,37.38,4🌟
76,Panther_a,1,2.0,39.1,37.38,4🌟
77,K_D271,1,2.0,45.8,37.38,4🌟
78,Kanu_DB,1,2.0,46.7,37.38,4🌟
79,Narutoo,2,1.5,27.0,37.26,4🌟
80,Yoni0129,1,4.0,93.0,35.82,4🌟
81,emu40,2,2.5,68.6,35.47,4🌟
82,Piyapiyee,2,2.0,62.2,34.86,4🌟
83,Zm_rabbi,2,1.0,20.1,34.76,4🌟
84,LEOMESSITHEGOAT2025,1,3.0,83.0,32.44,4🌟
85,Natanemestifanos21,2,2.5,84.0,32.14,4🌟
86,Matiman19,1,3.0,107.0,29.06,3🌟
87,sosmim,1,2.0,76.0,28.83,3🌟
88,asme2013,1,3.0,117.0,28.06,3🌟
89,Bellaread,1,2.0,82.0,27.62,3🌟
90,Nardii_21cardio,1,0.0,37.2,27.38,3🌟
91,BEFKADU BAYU,1,2.0,88.0,26.59,3🌟
92,Yostina_Abera,1,2.0,96.0,25.4,3🌟
93,DNHaftom21,1,1.0,91.0,21.12,3🌟
