Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,bellabest,20,5.0,49.46,86.36363636363636,9🌟
2,dagiheb,19,4.7894736842105265,51.199999999999996,82.79922996411483,9🌟
3,BEING_MIAPHYSITE,18,4.944444444444445,50.44444444444444,81.01710942019312,9🌟
4,Aklilu000,19,4.0,52.88947368421052,80.22510154786998,9🌟
5,Gebre_selasie,20,4.3,63.135000000000005,79.57157102025242,8🌟
6,Psa_lm19,20,4.5,67.285,78.80496463483013,8🌟
7,infinity21B,20,4.1,79.965,74.95002074771348,8🌟
8,Secretmis,16,4.0625,48.75625,74.23295454545455,8🌟
9,jordaw,17,4.470588235294118,63.1,72.4702534810207,8🌟
10,Nablis_21,13,3.923076923076923,47.784615384615385,66.41608391608392,7🌟
11,nathy2127,17,4.294117647058823,93.42941176470588,65.63844284458445,7🌟
12,Sos50lp,12,4.083333333333333,39.916666666666664,64.28030303030303,7🌟
13,Mis_iraq,14,4.0,74.95,60.76869428103585,7🌟
14,thanna_347,10,4.4,47.0,60.0,7🌟
15,Souljom,11,3.5454545454545454,54.22727272727273,58.608982840675296,6🌟
16,Tihtina20,10,3.9,51.57000000000001,58.10253494808468,6🌟
17,Hannibal,10,3.2,35.92,57.27272727272727,6🌟
18,bruktawit16,11,3.8181818181818183,66.15454545454546,55.07283505031704,6🌟
19,tsedal_12,8,4.5,53.9875,53.380780483697826,6🌟
20,Jude2124,9,3.3333333333333335,56.977777777777774,52.01413511085899,6🌟
21,herrybm97,9,3.5555555555555554,59.07777777777778,51.73935613422166,6🌟
22,Zm_rabbi,9,1.2222222222222223,46.71111111111111,50.27777777777778,6🌟
23,Hemen6254,7,3.142857142857143,48.214285714285715,49.64285714285714,5🌟
24,K_D271,9,4.333333333333333,72.6,49.56611570247934,5🌟
25,Hc2812,9,4.111111111111111,70.78888888888889,49.50157278323971,5🌟
26,sergut19,10,3.1,76.5,48.3853238265003,5🌟
27,semwwn,10,4.5,111.4,46.44809858005549,5🌟
28,Bersi3_19,6,4.0,56.76666666666666,46.11087385896547,5🌟
29,Eunelsa,10,2.6,87.47,45.19970483386512,5🌟
30,kid_mina,4,4.25,41.05,44.65909090909091,5🌟
31,YO_EN19,7,3.2857142857142856,64.6,44.31737766877086,5🌟
32,Mahi4652,4,4.0,44.925000000000004,44.09090909090909,5🌟
33,Get_Abell,3,4.0,44.43333333333334,41.59090909090909,5🌟
34,Casperanceph,2,5.0,35.650000000000006,41.36363636363636,5🌟
35,Ephrame12,2,5.0,38.150000000000006,41.36363636363636,5🌟
36,Ha,7,3.0,73.75714285714285,41.26569295511771,5🌟
37,beti00123,4,3.25,53.2,40.8826042378674,5🌟
38,David_499,5,3.0,58.98,40.51180677579457,5🌟
39,nati_i1,3,3.3333333333333335,37.53333333333333,40.07575757575758,5🌟
40,S_h_o_w_m_e,3,3.3333333333333335,43.800000000000004,40.07575757575758,5🌟
41,R,5,2.6,59.14,39.545377686229905,4🌟
42,Enku_ab,1,5.0,12.4,38.86363636363636,4🌟
43,M,1,5.0,32.8,38.86363636363636,4🌟
44,tiyobi2129,1,5.0,38.9,38.86363636363636,4🌟
45,Biyhg,1,5.0,42.5,38.86363636363636,4🌟
46,aprilyab,1,5.0,47.5,38.86363636363636,4🌟
47,gta_tame,6,4.666666666666667,98.43333333333334,38.305010826175746,4🌟
48,◕‿◕✿,2,4.0,52.05,38.10627892760458,4🌟
49,cephorina,1,5.0,52.7,37.582801449025354,4🌟
50,Tewobsta21,3,6.666666666666667,87.39999999999999,36.95357464808266,4🌟
51,Beta_1223,1,4.0,35.2,36.59090909090909,4🌟
52,me Vs me,5,3.2,77.2,35.96443711728686,4🌟
53,Tsitta1999,2,3.0,51.85,35.926185675462435,4🌟
54,Mekuelk,2,2.0,17.15,34.54545454545455,4🌟
55,MAFIt3,1,4.0,54.7,34.44282865215224,4🌟
56,Yaaliile,1,3.0,38.4,34.31818181818181,4🌟
57,abmt19,1,3.0,41.6,34.31818181818181,4🌟
58,Sosi12s,1,3.0,43.9,34.31818181818181,4🌟
59,fevwende,1,11.0,185.0,34.25675675675676,4🌟
60,Z0nedOut,2,1.5,24.75,33.40909090909091,4🌟
61,Rvrmm,2,4.5,68.8,33.39587737843552,4🌟
62,W2BKA2,3,3.0,65.86666666666666,33.29591461170409,4🌟
63,kale_yod19,1,4.0,57.7,33.2546872538207,4🌟
64,Hanniti1123,3,1.3333333333333333,56.46666666666666,32.667256985438804,4🌟
65,Intrinity1,1,5.0,68.0,32.24598930481284,4🌟
66,servant_of_the_saviour,3,5.666666666666667,105.8,32.193532680300166,4🌟
67,Revelation83,1,4.0,61.0,32.082712369597616,4🌟
68,Natnaelgebrehiwet,1,2.0,48.6,32.04545454545455,4🌟
69,Beakal Eliyas,5,2.6,92.6,31.908010995484,4🌟
70,GrooveStreetCJ,2,3.5,70.0,30.81168831168831,4🌟
71,girma2112,1,5.0,75.0,30.530303030303028,4🌟
72,Ft1415,1,1.0,18.0,29.772727272727273,3🌟
73,Paploeg,1,1.0,30.0,29.772727272727273,3🌟
74,Novelake,1,3.0,62.0,29.47947214076246,3🌟
75,habtetsega,2,4.0,88.0,28.295454545454547,3🌟
76,Michael Scofield,1,3.0,67.0,27.974898236092265,3🌟
77,Simretss,2,2.5,73.55,27.6770595142451,3🌟
78,Danimekuriaw,2,4.0,99.5,26.65372316126085,3🌟
79,LEOMESSITHEGOAT2025,1,3.0,75.0,25.98484848484848,3🌟
80,Ml122629,1,4.0,89.0,25.63585291113381,3🌟
81,Sani_j12,1,4.0,96.0,24.611742424242426,3🌟
82,Liyuworkesmelealem2,2,2.5,90.5,24.49397287795078,3🌟
83,gebre2759,1,3.0,91.0,23.054445554445554,3🌟
84,TekliTsegay,1,4.0,110.0,22.954545454545453,3🌟
85,Kubengrk,1,4.0,115.0,22.460474308300398,3🌟
86,Debes,2,2.0,102.0,21.80035650623886,3🌟
