Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,Geniyemekdes,15,4.8,42.57333333333334,99.0,10🌟
2,bellabest,14,4.857142857142857,36.92857142857143,95.95238095238095,10🌟
3,Mafit33,14,4.714285714285714,35.19285714285714,95.23809523809524,10🌟
4,Emuuuu_21,14,4.428571428571429,52.135714285714286,92.7854109173468,10🌟
5,bruktawit16,14,4.428571428571429,55.392857142857146,91.37561020539744,10🌟
6,Nablis_21,13,4.538461538461538,42.82307692307692,91.02564102564102,10🌟
7,ZeTaologos4,14,3.7857142857142856,26.17142857142857,90.59523809523809,10🌟
8,Abutio,14,3.857142857142857,53.107142857142854,89.48970442245492,9🌟
9,Tewobsta21,13,4.230769230769231,41.26153846153846,89.48717948717949,9🌟
10,Auto_phileeee,12,4.75,34.675000000000004,88.75,9🌟
11,K_D271,14,4.285714285714286,63.728571428571435,87.70967432029973,9🌟
12,BEING_MIAPHYSITE,12,4.5,36.18333333333333,87.5,9🌟
13,Gebre_selasie,14,4.0,60.114285714285714,87.4603929024081,9🌟
14,W2BKA2,14,4.357142857142857,68.65714285714286,86.6587896082278,9🌟
15,Psa_lm19,13,4.3076923076923075,60.24615384615385,85.62000733349048,9🌟
16,fre99,11,4.454545454545454,43.03636363636364,83.93939393939394,9🌟
17,sergut19,14,4.142857142857143,76.57142857142857,83.70557924662403,9🌟
18,Souljom,12,4.25,56.64166666666667,83.31855965867294,9🌟
19,semwwn,14,4.214285714285714,82.46428571428571,82.89617232774444,9🌟
20,tiyobi2129,11,4.181818181818182,48.73636363636364,82.57575757575756,9🌟
21,muluken_24,13,4.384615384615385,74.4,82.05748552522746,9🌟
22,nati_i1,10,4.7,48.230000000000004,81.83333333333333,9🌟
23,Mekuelk,10,4.4,49.58,80.33333333333333,9🌟
24,light_1819,11,4.363636363636363,59.809090909090905,79.38468128618607,8🌟
25,christSmary,14,4.0,101.07142857142857,79.0341578327444,8🌟
26,mafi71,12,4.0,67.52499999999999,78.51166234727879,8🌟
27,JYAT6200,10,3.9,34.39,77.83333333333333,8🌟
28,Goahdsol16,9,4.444444444444445,41.577777777777776,77.22222222222223,8🌟
29,Sosi12s,9,4.444444444444445,42.111111111111114,77.22222222222223,8🌟
30,Radioactive217,8,4.75,37.7875,75.41666666666667,8🌟
31,Kai_8zen,11,3.4545454545454546,59.39090909090908,74.9863861328732,8🌟
32,thanna_347,8,4.5,45.1125,74.16666666666667,8🌟
33,Hc2812,8,4.5,49.05,74.16666666666667,8🌟
34,gech6225,8,4.625,51.45,74.08709912536443,8🌟
35,David_499,10,4.3,70.47,72.57137789130127,8🌟
36,kyezk,8,4.25,50.8,72.5229658792651,8🌟
37,fevwende,7,4.857142857142857,51.4,71.93811376690753,8🌟
38,reyal2116,9,4.444444444444445,63.733333333333334,71.8351929335193,8🌟
39,nathy2127,10,4.0,70.86,70.97375105842505,8🌟
40,habtetsega,7,4.428571428571429,44.17142857142857,70.47619047619048,8🌟
41,dbtdrys,6,5.0,44.63333333333333,70.0,8🌟
42,servant_of_the_saviour,6,4.833333333333333,28.333333333333332,69.16666666666666,7🌟
43,CipherLens,7,4.142857142857143,54.371428571428574,67.03763481220129,7🌟
44,jordaw,7,3.857142857142857,51.471428571428575,66.90436540977757,7🌟
45,aprilyab,6,4.5,52.333333333333336,66.38535031847134,7🌟
46,MAFIt3,5,4.8,43.88,65.66666666666666,7🌟
47,tsedal_12,6,4.333333333333333,52.449999999999996,65.49888782967906,7🌟
48,Sos50lp,5,4.6,48.9,64.66666666666666,7🌟
49,elysian_soul,8,4.375,79.3375,64.29714169423875,7🌟
50,Aklilu000,8,3.25,59.3125,63.99148226203022,7🌟
51,johted,7,4.0,65.52857142857142,62.40898190538478,7🌟
52,Mt_wos,5,4.2,52.5,61.47619047619048,7🌟
