Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,Gebre_selasie,17,3.76,60.6,86.3,9🌟
2,BEING_MIAPHYSITE,14,4.71,33.6,85.82,9🌟
3,Nablis_21,14,4.36,40.6,84.33,9🌟
4,W2BKA2,16,4.5,69.1,83.9,9🌟
5,Hc2812,13,4.77,49.8,83.11,9🌟
6,Psa_lm19,15,4.13,60.7,81.94,9🌟
7,bruktawit16,15,4.13,61.9,81.54,9🌟
8,nati_i1,13,4.31,44.1,81.18,9🌟
9,ZeTaologos4,13,4.23,26.8,80.86,9🌟
10,Souljom,14,3.93,53.8,80.8,9🌟
11,semwwn,16,4.31,80.9,80.47,9🌟
12,bellabest,12,4.83,34.6,80.43,9🌟
13,Tewobsta21,13,4.08,38.6,80.22,9🌟
14,Emuuuu_21,12,4.75,50.2,80.01,9🌟
15,Sos50lp,12,4.5,41.8,79.04,8🌟
16,Geniyemekdes,11,5.0,42.0,78.19,8🌟
17,fre99,11,4.91,47.0,77.81,8🌟
18,Mafit33,10,4.8,31.8,74.41,8🌟
19,Abutio,12,3.67,53.0,74.18,8🌟
20,sergut19,13,4.15,72.2,72.87,8🌟
21,tiyobi2129,9,4.44,46.0,69.99,7🌟
22,Beta_1223,9,4.33,38.2,69.53,7🌟
23,habtetsega,9,4.33,45.9,69.53,7🌟
24,David_499,11,4.45,67.5,69.43,7🌟
25,MAFIt3,8,5.0,36.4,69.36,7🌟
26,Auto_phileeee,8,4.88,35.9,68.84,7🌟
27,gech6225,8,4.75,48.5,68.32,7🌟
28,K_D271,11,4.36,71.7,67.98,7🌟
29,infinity21B,10,4.5,63.6,67.81,7🌟
30,light_1819,9,4.22,52.8,67.73,7🌟
31,herrybm97,9,3.89,44.7,67.67,7🌟
32,Goahdsol16,8,4.88,52.6,67.62,7🌟
33,tsedal_12,8,4.5,46.4,67.28,7🌟
34,nathy2127,10,4.1,61.1,66.95,7🌟
35,mafi71,11,3.73,66.2,66.76,7🌟
36,Sosi12s,7,4.86,38.9,65.83,7🌟
37,thanna_347,7,4.71,36.8,65.23,7🌟
38,Novelake,9,3.78,56.1,64.51,7🌟
39,Hannibal,8,3.75,39.9,64.15,7🌟
40,Aklilu000,8,3.75,43.4,64.15,7🌟
41,Radioactive217,7,4.29,35.3,63.45,7🌟
42,servant_of_the_saviour,7,4.14,34.0,62.85,7🌟
43,kyezk,7,4.14,48.1,62.85,7🌟
44,aprilyab,7,4.29,51.3,62.81,7🌟
45,JYAT6200,7,4.0,36.1,62.25,7🌟
46,fevwende,6,4.67,43.8,62.09,7🌟
47,CipherLens,7,4.29,53.1,61.98,7🌟
48,jordaw,8,3.5,53.1,61.64,7🌟
49,Mekuelk,7,4.0,52.1,61.26,7🌟
50,Rvrmm,7,4.0,54.2,60.3,7🌟
51,christSmary,11,3.73,104.1,59.89,6🌟
52,Kai_8zen,8,3.5,59.3,59.2,6🌟
53,muluken_24,9,4.0,78.2,59.13,6🌟
54,abmt19,5,5.0,53.1,59.09,6🌟
55,Enku_ab,5,4.6,14.4,58.87,6🌟
56,KingBz2119,4,5.25,16.2,58.64,6🌟
57,Mahi4652,8,4.0,70.2,58.01,6🌟
58,elysian_soul,8,4.38,79.3,57.51,6🌟
59,Mar_thi16,5,4.8,55.5,57.21,6🌟
60,Madonna,5,4.2,45.2,57.21,6🌟
61,Get_Abell,5,4.0,48.1,56.37,6🌟
62,johted,7,4.0,65.5,56.33,6🌟
63,Mt_wos,5,4.2,52.5,56.02,6🌟
64,NOLBAZ78,4,4.5,39.3,55.51,6🌟
65,Jajos77,4,4.5,40.6,55.51,6🌟
66,Kanu_DB,4,4.5,50.5,55.27,6🌟
67,Secretmis,3,5.0,37.5,54.66,6🌟
68,dbtdrys,3,5.0,41.4,54.66,6🌟
69,Jude2124,7,3.14,61.8,53.92,6🌟
70,yodi2014,2,5.5,15.6,53.8,6🌟
71,chris_asse,2,5.5,37.1,53.8,6🌟
72,Mega1323,4,4.0,43.8,53.43,6🌟
73,Sewyishal,4,4.75,57.8,53.18,6🌟
74,samon0021,1,6.0,14.1,52.94,6🌟
75,Jordan_21,1,6.0,21.8,52.94,6🌟
76,aethrialsoul,7,3.86,78.9,52.49,6🌟
77,S_h_o_w_m_e,3,4.33,39.0,51.88,6🌟
78,Khaldrogo1st,2,5.0,38.1,51.72,6🌟
79,Zmike3,4,4.5,59.4,51.55,6🌟
80,Tihtina20,4,3.5,43.4,51.35,6🌟
81,Evakifle,4,4.5,60.6,51.14,6🌟
82,Yobsen21,3,4.0,49.9,50.49,6🌟
83,TSHMESK,2,5.0,52.7,50.43,6🌟
84,Miracle2931,2,4.5,47.0,49.63,5🌟
85,Maty,2,4.5,48.3,49.63,5🌟
86,Gelagelu,1,6.0,57.8,49.57,5🌟
87,kale_yod19,4,3.75,56.8,49.42,5🌟
88,Madonna_3,4,3.0,26.0,49.26,5🌟
89,Me777ge,6,3.33,71.0,49.13,5🌟
90,Natanmesfin,3,3.67,39.7,49.1,5🌟
91,Urairam2122,3,3.67,49.7,49.1,5🌟
92,remaerdyad,1,6.0,59.8,48.84,5🌟
93,Zm_rabbi,1,5.0,27.8,48.77,5🌟
94,aaamy2825,1,5.0,39.2,48.77,5🌟
95,ProgramingBootcampAAu,1,5.0,42.8,48.77,5🌟
96,Get_Fan29,1,5.0,47.3,48.77,5🌟
97,Hemen6254,1,5.0,49.0,48.77,5🌟
98,ArodionX,1,5.0,50.9,48.33,5🌟
99,Gelu54,4,4.5,71.0,48.13,5🌟
100,Amsalu Sisay,2,4.0,36.6,47.55,5🌟
101,Casperanceph,2,4.0,39.2,47.55,5🌟
102,Betso19,2,4.0,40.6,47.55,5🌟
103,m2agt,1,6.0,65.0,47.17,5🌟
104,reyal2116,4,4.5,78.2,46.49,5🌟
105,Ha,6,3.0,78.1,46.14,5🌟
106,lij_natt,1,5.0,56.1,46.06,5🌟
107,Yaya,6,3.83,100.8,46.02,5🌟
108,Stairstosucess,5,4.0,88.6,45.48,5🌟
109,Th Jdog,4,4.25,79.5,45.2,5🌟
110,it_is_Yoni,4,4.0,76.8,44.72,5🌟
111,Atse_nabuk,1,4.0,38.5,44.61,5🌟
112,S_a_f_f_r_o_n_n,1,4.0,39.5,44.61,5🌟
113,Vkliana,1,4.0,43.9,44.61,5🌟
114,Tesgeorge,1,4.0,45.1,44.61,5🌟
115,YO_EN19,1,4.0,49.2,44.61,5🌟
116,rraammar,1,4.0,49.3,44.61,5🌟
117,Yostina_Abera,1,4.0,51.0,44.12,5🌟
118,Yemikael_T,2,4.0,58.6,43.88,5🌟
119,Yehiotemeseret27,4,3.75,77.2,43.57,5🌟
120,Mulugetas_daughter,2,3.5,54.2,43.51,5🌟
121,Trsitee,1,4.0,52.6,43.37,5🌟
122,T_F_A_P,1,4.0,52.8,43.28,5🌟
123,Mrcy2907,4,3.75,78.8,43.26,5🌟
124,naseb27,1,5.0,65.0,43.01,5🌟
125,Idory,2,4.5,69.1,42.72,5🌟
126,zu_fekadie,2,5.0,79.5,42.44,5🌟
127,amsinam,2,4.0,63.0,42.39,5🌟
128,SGL2721,1,5.0,68.0,42.16,5🌟
129,methgrcoyear,2,4.5,72.0,41.98,5🌟
130,XXpresent,4,3.25,75.6,41.85,5🌟
131,kal_ay,3,3.0,61.3,41.7,5🌟
132,bethel369,1,5.0,70.0,41.63,5🌟
133,n12435,1,5.0,71.0,41.38,5🌟
134,mfnbruk,1,4.0,57.5,41.35,5🌟
135,Hahu71,1,4.0,60.0,40.44,5🌟
136,Sara_hkb,1,3.0,33.4,40.44,5🌟
137,Hem2123,1,3.0,37.1,40.44,5🌟
138,Genethul,1,3.0,44.0,40.44,5🌟
139,yonisura,1,3.0,48.9,40.44,5🌟
140,Bloodredeemed,1,5.0,80.0,39.4,4🌟
141,the_tall_boy_ceo,1,5.0,81.0,39.21,4🌟
142,carakiduuu,1,3.0,53.5,38.81,4🌟
143,ehbmz,1,5.0,84.0,38.66,4🌟
144,SemaTeamr,2,3.0,62.2,38.49,4🌟
145,Eunelsa,3,3.67,89.0,38.15,4🌟
146,Mshabka,2,4.0,81.5,37.89,4🌟
147,Elya721s,1,3.0,56.0,37.76,4🌟
148,Nola_y,2,3.5,73.0,37.59,4🌟
149,Hone_22,1,5.0,91.0,37.51,4🌟
150,world2025vpn,1,4.0,70.0,37.46,4🌟
151,me Vs me,1,4.0,72.0,36.97,4🌟
152,Manuhe21,1,5.0,95.0,36.93,4🌟
153,Bettyjem,3,2.0,63.3,36.91,4🌟
154,Aki_lal,2,3.0,68.0,36.75,4🌟
155,belonef,1,4.0,74.0,36.5,4🌟
156,A21sh12u6,1,4.0,75.0,36.27,4🌟
157,Nardii_21cardio,1,4.0,75.0,36.27,4🌟
158,samrrysam,1,5.0,104.0,35.79,4🌟
159,Makite,4,3.5,133.0,35.75,4🌟
160,Liyuworkesmelealem2,2,4.0,95.0,35.7,4🌟
161,Hanniti1123,2,4.0,97.0,35.44,4🌟
162,ZeLideta12,1,3.0,63.0,35.28,4🌟
163,jocyinthe,1,3.0,63.0,35.28,4🌟
164,Danimekuriaw,1,4.0,85.0,34.31,4🌟
165,Michael Scofield,1,4.0,85.0,34.31,4🌟
166,IBERIONXXI,2,4.0,109.0,34.02,4🌟
167,Leojo_W,1,3.0,68.0,33.82,4🌟
168,Mekdes Abebe,2,5.0,187.0,33.4,4🌟
169,Yeabsira Mezgebu,1,4.0,92.0,33.19,4🌟
170,nahomefrem,2,4.0,120.0,32.97,4🌟
171,daved03,1,5.0,138.0,32.83,4🌟
172,t_s_e_g_a_y_e,1,4.0,96.0,32.63,4🌟
173,Yotor_30,1,4.0,99.0,32.23,4🌟
174,itis24,1,1.0,17.6,32.11,4🌟
175,wendye,1,3.0,79.0,31.26,4🌟
176,Seconded10,1,3.0,81.0,30.87,4🌟
177,henokastr,1,1.0,53.2,30.6,4🌟
178,hased123,1,2.0,69.0,29.39,3🌟
179,EA21b7,1,4.0,128.0,29.37,3🌟
180,Classy_blackie,1,3.0,90.0,29.33,3🌟
181,The_innocenceisgone,1,2.0,70.0,29.13,3🌟
182,Yadelewcs,1,2.0,70.0,29.13,3🌟
183,nuye_ab,1,3.0,92.0,29.03,3🌟
184,Weleba18,1,0.0,48.1,27.94,3🌟
185,Rohi_2121,1,3.0,101.0,27.82,3🌟
186,Lsms_19,1,3.0,105.0,27.35,3🌟
187,simpforjoel,1,3.0,114.0,26.41,3🌟
188,robbietade,1,2.0,92.0,24.86,3🌟
189,Asdam2121,1,2.0,97.0,24.16,3🌟
190,GGG21_12,1,3.0,175.0,22.58,3🌟
191,brook2005,1,2.0,112.0,22.44,3🌟
192,Habtemary21,1,0.0,65.0,22.17,3🌟
193,Kubengrk,1,2.0,138.0,20.33,3🌟
194,እናቴ ሁሌም በልቤ ውስጥ አለሽ!,1,2.0,170.0,18.63,2🌟
195,Tede121316,1,1.0,113.0,18.17,2🌟
196,Amen27n,1,1.0,138.0,16.17,2🌟
