Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,gta_tame,30,4.266666666666667,45.46666666666667,96.33333333333333,10🌟
2,bellabest,29,4.413793103448276,29.731034482758623,95.40229885057471,10🌟
3,Psa_lm19,30,4.066666666666666,41.95333333333333,95.33333333333333,10🌟
4,Mis_iraq,27,4.074074074074074,41.992592592592594,90.37037037037038,10🌟
5,Nablis_21,26,4.269230769230769,41.34615384615385,89.67948717948718,9🌟
6,herrybm97,22,4.7272727272727275,27.027272727272727,85.30303030303031,9🌟
7,Kanu_DB,24,4.041666666666667,43.47083333333333,85.20833333333333,9🌟
8,Ephrame12,22,4.5,36.981818181818184,84.16666666666666,9🌟
9,S_a_f_f_r_o_n_n,22,4.2272727272727275,31.518181818181816,82.8030303030303,9🌟
10,a081216,23,3.652173913043478,41.54347826086956,81.59420289855072,9🌟
11,dagiheb,21,3.9523809523809526,31.071428571428573,79.76190476190476,8🌟
12,Gebre_selasie,22,3.590909090909091,45.981818181818184,79.62121212121212,8🌟
13,TSHMESK,17,4.705882352941177,29.705882352941178,76.86274509803921,8🌟
14,dbtdrys,18,4.333333333333333,29.32222222222222,76.66666666666666,8🌟
15,Auto_phileeee,20,3.65,34.56,76.58333333333333,8🌟
16,infinity21B,25,3.16,66.608,76.23318119945552,8🌟
17,Sos50lp,16,4.75,31.025,75.41666666666667,8🌟
18,BEING_MIAPHYSITE,17,4.117647058823529,30.50588235294118,73.92156862745098,8🌟
19,tsenat11,19,3.3684210526315788,49.76315789473684,73.50877192982456,8🌟
20,that_red1,18,3.611111111111111,41.016666666666666,73.05555555555556,8🌟
21,LEOMESSITHEGOAT2025,16,4.25,48.625,72.91666666666667,8🌟
22,lij_natt,19,3.789473684210526,57.584210526315786,72.321374453408,8🌟
23,Nola_y,19,3.3157894736842106,53.37894736842105,71.66308593412144,8🌟
24,TMGBFE,15,4.066666666666666,36.53333333333333,70.33333333333333,8🌟
25,Ha,15,3.6666666666666665,44.013333333333335,68.33333333333333,7🌟
26,fevwende,13,4.076923076923077,40.5923076923077,67.05128205128204,7🌟
27,Khaldrogo1st,15,3.3333333333333335,47.95333333333333,66.66666666666667,7🌟
28,Davidson1928,10,4.6,24.240000000000002,64.66666666666666,7🌟
29,MAFIt3,10,4.1,35.53,62.166666666666664,7🌟
30,Tihtina20,11,3.6363636363636362,43.4,61.515151515151516,7🌟
31,KT431,12,3.5,52.60833333333333,61.260494218279746,7🌟
32,Aklilu000,10,3.9,33.53,61.166666666666664,7🌟
33,Gelagelu,7,4.142857142857143,32.65714285714286,57.38095238095238,6🌟
34,MGAGEG,9,3.4444444444444446,42.02222222222222,57.22222222222222,6🌟
35,Fwme21,11,3.090909090909091,57.43636363636363,55.55109499553944,6🌟
36,knowwtuhave,10,2.7,30.95,55.166666666666664,6🌟
37,Liyu272112,9,3.5555555555555554,57.87777777777777,54.37501333162688,6🌟
38,aaamy2825,5,4.0,46.22,53.33333333333333,6🌟
39,XYZ,7,3.2857142857142856,35.82857142857143,53.095238095238095,6🌟
40,Saintignatiuss,4,4.25,17.55,52.91666666666667,6🌟
41,Bersi3_19,1,5.0,16.7,51.66666666666667,6🌟
42,Prince_leul16,1,5.0,18.4,51.66666666666667,6🌟
43,henokastro,1,5.0,18.8,51.66666666666667,6🌟
44,YoYp_Y,1,5.0,25.5,51.66666666666667,6🌟
45,thanna_347,1,5.0,36.7,51.66666666666667,6🌟
46,JYAT6200,1,5.0,43.5,51.66666666666667,6🌟
47,amsinam,4,4.0,36.875,51.66666666666667,6🌟
48,fre99,2,4.5,43.5,50.83333333333333,6🌟
49,Tinadangu,4,3.75,50.625,50.108024691358025,6🌟
50,W2BKA2,2,5.0,57.7,49.99711149624494,5🌟
51,Simretss,5,3.8,56.239999999999995,49.55950687529635,5🌟
52,YO_EN19,6,3.0,50.949999999999996,49.533856722276745,5🌟
53,Reb1256,10,1.7,51.779999999999994,49.30726149092314,5🌟
54,anna_16_21_19,1,5.0,56.3,48.86915334517467,5🌟
55,Souljom,2,4.0,32.65,48.33333333333333,5🌟
56,heluthun,2,4.0,44.099999999999994,48.33333333333333,5🌟
57,Mkdtb,1,5.0,58.7,47.961385576377054,5🌟
58,Secretmis,4,3.25,33.075,47.91666666666667,5🌟
59,DeveE156,1,5.0,59.8,47.569676700111486,5🌟
60,Natty_don,1,5.0,59.8,47.569676700111486,5🌟
61,Eunelsa,3,3.6666666666666665,52.833333333333336,46.99263932702418,5🌟
62,Eliora21,1,4.0,30.4,46.66666666666667,5🌟
63,Hc2812,1,4.0,40.0,46.66666666666667,5🌟
64,THEN0AH,1,4.0,42.1,46.66666666666667,5🌟
65,Hannibal,1,4.0,43.8,46.66666666666667,5🌟
66,jordaw,1,4.0,45.1,46.66666666666667,5🌟
67,Casperanceph,6,2.3333333333333335,36.78333333333333,46.666666666666664,5🌟
