Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,gta_tame,13,4.15,45.0,95.77,10🌟
2,Kanu_DB,13,4.0,47.8,95.0,10🌟
3,Psa_lm19,13,3.85,45.7,94.23,10🌟
4,Ephrame12,12,4.42,37.5,93.24,10🌟
5,Nablis_21,12,4.33,38.5,92.82,10🌟
6,bellabest,12,4.25,29.2,92.4,10🌟
7,Mis_iraq,12,4.25,40.5,92.4,10🌟
8,BEING_MIAPHYSITE,11,4.0,31.6,87.31,9🌟
9,herrybm97,10,4.7,28.4,86.96,9🌟
10,dagiheb,11,3.91,29.6,86.85,9🌟
11,Auto_phileeee,11,3.82,31.9,86.4,9🌟
12,Gebre_selasie,11,3.73,48.7,85.94,9🌟
13,Sos50lp,10,4.4,34.1,85.46,9🌟
14,LEOMESSITHEGOAT2025,10,4.3,51.3,84.33,9🌟
15,TSHMESK,8,4.5,33.1,78.27,8🌟
16,Ha,9,3.33,42.5,76.28,8🌟
17,infinity21B,10,3.0,67.6,71.95,8🌟
18,MAFIt3,7,4.0,32.4,71.92,8🌟
19,S_a_f_f_r_o_n_n,6,4.17,37.2,68.91,7🌟
20,a081216,7,3.29,43.7,68.35,7🌟
21,fevwende,6,4.0,41.7,68.08,7🌟
22,KT431,6,3.83,61.4,62.6,7🌟
23,Liyu272112,7,3.14,62.8,62.56,7🌟
24,tsenat11,6,2.83,44.9,62.24,7🌟
25,Saintignatiuss,4,4.25,17.6,61.63,7🌟
26,Tihtina20,5,3.4,43.0,61.23,7🌟
27,that_red1,4,4.0,43.4,60.38,7🌟
28,Tinadangu,4,3.75,50.6,58.83,6🌟
29,Secretmis,4,3.25,33.1,56.63,6🌟
30,YO_EN19,4,3.5,53.0,56.48,6🌟
31,Nola_y,6,2.67,64.1,55.9,6🌟
32,dbtdrys,2,4.5,22.6,55.19,6🌟
33,fre99,2,4.5,43.5,55.19,6🌟
34,amsinam,3,3.67,38.1,54.87,6🌟
35,lij_natt,5,3.8,75.9,54.7,6🌟
36,Prince_leul16,1,5.0,18.4,53.85,6🌟
37,henokastro,1,5.0,18.8,53.85,6🌟
38,YoYp_Y,1,5.0,25.5,53.85,6🌟
39,thanna_347,1,5.0,36.7,53.85,6🌟
40,Souljom,2,4.0,32.6,52.69,6🌟
41,Simretss,3,4.0,61.2,51.95,6🌟
42,K_D271,3,3.33,54.5,51.13,6🌟
43,Natty_don,1,5.0,59.8,49.75,5🌟
44,jordaw,1,4.0,45.1,48.85,5🌟
45,Eunelsa,1,4.0,55.6,46.33,5🌟
46,TMGBFE,1,3.0,25.5,43.85,5🌟
47,Khaldrogo1st,1,3.0,35.4,43.85,5🌟
48,Reb1256,2,2.5,53.6,43.49,5🌟
49,DNHaftom21,3,2.33,62.4,43.25,5🌟
50,January5678,1,4.0,70.0,41.7,5🌟
51,henokastr,2,3.0,75.0,39.36,4🌟
52,MagdaleNe_7,1,3.0,62.0,39.01,4🌟
53,Casperanceph,1,2.0,36.7,38.85,4🌟
54,Danimekuriaw,2,2.5,71.0,37.8,4🌟
55,shizuku_17,1,3.0,67.0,37.5,4🌟
56,Oshi1718,1,3.0,79.0,34.67,4🌟
57,Yostina_Abera,1,1.0,18.6,33.85,4🌟
58,bilu20061,1,1.0,20.2,33.85,4🌟
59,Yearsema_06,2,1.0,64.0,32.22,4🌟
60,Sosna811e,1,1.0,54.9,31.61,4🌟
61,melu_Nigus,1,2.0,79.0,29.67,3🌟
62,Zm_rabbi,1,0.0,8.4,28.85,3🌟
