Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,Davidson1928,7,4.714285714285714,24.942857142857143,98.57142857142857,10🌟
2,Mis_iraq,7,3.7142857142857144,43.24285714285714,93.57142857142857,10🌟
3,dbtdrys,6,4.333333333333333,32.6,89.52380952380952,9🌟
4,S_a_f_f_r_o_n_n,6,4.166666666666667,34.75,88.69047619047619,9🌟
5,Psa_lm19,6,4.166666666666667,37.68333333333333,88.69047619047619,9🌟
6,bellabest,6,4.0,34.28333333333333,87.85714285714286,9🌟
7,gta_tame,6,4.0,48.38333333333333,87.85714285714286,9🌟
8,tsenat11,6,3.5,53.666666666666664,83.64906832298136,9🌟
9,TMGBFE,5,4.0,34.480000000000004,80.71428571428572,9🌟
10,that_red1,5,3.8,36.62,79.71428571428572,8🌟
11,a081216,5,3.6,42.44,78.71428571428572,8🌟
12,lij_natt,5,3.6,51.92,77.78978648470174,8🌟
13,Khaldrogo1st,5,3.2,50.480000000000004,76.4765678062033,8🌟
14,Nablis_21,5,3.6,55.0,76.44155844155844,8🌟
15,XYZ,5,3.0,38.06,75.71428571428572,8🌟
16,knowwtuhave,5,2.4,29.8,72.71428571428572,8🌟
17,Fwme21,5,2.6,52.42,72.56014607292745,8🌟
18,MGAGEG,4,3.25,39.95,69.82142857142857,7🌟
19,dagiheb,4,3.0,32.6,68.57142857142857,7🌟
20,Gebre_selasie,4,2.75,51.25,66.7116724738676,7🌟
21,Reb1256,5,1.4,52.44,66.55105154189823,7🌟
22,Nola_y,3,4.0,38.733333333333334,66.42857142857143,7🌟
23,Tihtina20,2,5.0,24.299999999999997,64.28571428571428,7🌟
24,ziggyyu,4,3.0,63.625,63.217793993825424,7🌟
25,herrybm97,2,4.0,27.65,59.285714285714285,6🌟
26,infinity21B,4,2.75,73.75,59.27058111380145,6🌟
27,Sos50lp,1,5.0,26.1,57.14285714285714,6🌟
28,BEING_MIAPHYSITE,1,5.0,38.2,57.14285714285714,6🌟
29,fevwende,2,3.5,37.099999999999994,56.785714285714285,6🌟
30,aaamy2825,2,3.5,44.8,56.785714285714285,6🌟
31,Eunelsa,2,3.5,51.45,56.08114674441205,6🌟
32,Eliora21,1,4.0,30.4,52.14285714285714,6🌟
33,Ha,1,4.0,41.9,52.14285714285714,6🌟
34,David_499,3,2.0,61.333333333333336,51.80900621118012,6🌟
35,yodi2014,1,3.0,23.4,47.14285714285714,5🌟
36,Natnaelgebrehiwet,1,3.0,32.3,47.14285714285714,5🌟
37,Beakal Eliyas,1,3.0,50.7,46.79768948999718,5🌟
38,Aklilu000,1,2.0,33.7,42.14285714285714,5🌟
39,helen Worku,1,2.0,45.6,42.14285714285714,5🌟
40,henokastr,1,3.0,74.0,39.034749034749034,4🌟
41,gebre2759,1,3.0,78.0,38.16849816849817,4🌟
42,Yostina_Abera,1,4.0,116.0,37.91871921182266,4🌟
43,Nazazitne_24,1,3.0,86.0,36.67774086378738,4🌟
44,bilu20061,1,1.0,75.0,28.809523809523807,3🌟
45,FRATKURU,1,2.0,114.0,28.107769423558896,3🌟
46,Estif5656,1,1.0,79.0,27.965641952983724,3🌟
47,yared_HQ,1,1.0,93.0,25.583717357910906,3🌟
